Rockwell	NNP	B-NP	B-NP
International	NNP	I-NP	I-NP
Corp.	NNP	I-NP	I-NP
's	POS	B-NP	B-NP
Tulsa	NNP	I-NP	I-NP
unit	NN	I-NP	I-NP
said	VBD	B-VP	B-VP
it	PRP	B-NP	B-NP
signed	VBD	B-VP	B-VP
a	DT	B-NP	B-NP
tentative	JJ	I-NP	I-NP
agreement	NN	I-NP	I-NP
extending	VBG	B-VP	I-NP
its	PRP$	B-NP	I-NP
contract	NN	I-NP	I-NP
with	IN	B-PP	B-PP
Boeing	NNP	B-NP	B-NP
Co.	NNP	I-NP	I-NP
to	TO	B-VP	B-VP
provide	VB	I-VP	I-VP
structural	JJ	B-NP	B-NP
parts	NNS	I-NP	I-NP
for	IN	B-PP	B-PP
Boeing	NNP	B-NP	B-NP
's	POS	B-NP	B-NP
747	CD	I-NP	I-NP
jetliners	NNS	I-NP	I-NP
.	.	O	O

Rockwell	NNP	B-NP	B-NP
said	VBD	B-VP	B-VP
the	DT	B-NP	B-NP
agreement	NN	I-NP	I-NP
calls	VBZ	B-VP	I-NP
for	IN	B-SBAR	B-PP
it	PRP	B-NP	B-NP
to	TO	B-VP	B-VP
supply	VB	I-VP	I-VP
200	CD	B-NP	B-NP
additional	JJ	I-NP	I-NP
so-called	JJ	I-NP	I-NP
shipsets	NNS	I-NP	I-NP
for	IN	B-PP	B-PP
the	DT	B-NP	B-NP
planes	NNS	I-NP	I-NP
.	.	O	O

These	DT	B-NP	B-NP
include	VBP	B-VP	I-NP
,	,	O	O
among	IN	B-PP	B-NP
other	JJ	B-NP	I-NP
parts	NNS	I-NP	I-NP
,	,	O	O
each	DT	B-NP	B-NP
jetliner	NN	I-NP	I-NP
's	POS	B-NP	B-NP
two	CD	I-NP	I-NP
major	JJ	I-NP	I-NP
bulkheads	NNS	I-NP	I-NP
,	,	O	O
a	DT	B-NP	B-NP
pressure	NN	I-NP	I-NP
floor	NN	I-NP	I-NP
,	,	O	O
torque	NN	B-NP	B-NP
box	NN	I-NP	I-NP
,	,	O	O
fixed	VBN	B-NP	B-NP
leading	VBG	I-NP	I-NP
edges	NNS	I-NP	I-NP
for	IN	B-PP	B-PP
the	DT	B-NP	B-NP
wings	NNS	I-NP	I-NP
and	CC	O	O
an	DT	B-NP	B-NP
aft	JJ	I-NP	I-NP
keel	NN	I-NP	I-NP
beam	NN	I-NP	I-NP
.	.	O	O

Under	IN	B-PP	B-PP
the	DT	B-NP	B-NP
existing	VBG	I-NP	I-NP
contract	NN	I-NP	I-NP
,	,	O	O
Rockwell	NNP	B-NP	B-NP
said	VBD	B-VP	I-NP
,	,	O	O
it	PRP	B-NP	B-NP
has	VBZ	B-VP	B-VP
already	RB	I-VP	I-VP
delivered	VBN	I-VP	B-NP
793	CD	B-NP	I-NP
of	IN	B-PP	B-PP
the	DT	B-NP	B-NP
shipsets	NNS	I-NP	I-NP
to	TO	B-PP	B-VP
Boeing	NNP	B-NP	I-VP
.	.	O	O

Rockwell	NNP	B-NP	B-NP
,	,	O	O
based	VBN	B-VP	B-NP
in	IN	B-PP	B-PP
El	NNP	B-NP	B-NP
Segundo	NNP	I-NP	I-NP
,	,	O	I-NP
Calif.	NNP	B-NP	I-NP
,	,	O	O
is	VBZ	B-VP	B-VP
an	DT	B-NP	B-NP
aerospace	NN	I-NP	I-NP
,	,	I-NP	O
electronics	NNS	I-NP	B-NP
,	,	I-NP	O
automotive	JJ	I-NP	B-NP
and	CC	I-NP	I-NP
graphics	NNS	I-NP	I-NP
concern	VBP	I-NP	I-NP
.	.	O	O

Frank	NNP	B-NP	B-NP
Carlucci	NNP	I-NP	I-NP
III	NNP	I-NP	I-NP
was	VBD	B-VP	B-VP
named	VBN	I-VP	I-VP
to	TO	B-PP	I-VP
this	DT	B-NP	I-VP
telecommunications	NNS	I-NP	B-NP
company	NN	I-NP	I-NP
's	POS	B-NP	B-NP
board	NN	I-NP	I-NP
,	,	O	O
filling	VBG	B-VP	B-VP
the	DT	B-NP	B-NP
vacancy	NN	I-NP	I-NP
created	VBN	B-VP	I-NP
by	IN	B-PP	B-PP
the	DT	B-NP	B-NP
death	NN	I-NP	I-NP
of	IN	B-PP	B-PP
William	NNP	B-NP	B-NP
Sobey	NNP	I-NP	I-NP
last	JJ	B-NP	I-NP
May	NNP	I-NP	I-NP
.	.	O	O

Mr.	NNP	B-NP	B-NP
Carlucci	NNP	I-NP	I-NP
,	,	O	O
59	CD	B-NP	B-NP
years	NNS	I-NP	I-NP
old	JJ	B-ADJP	I-NP
,	,	O	O
served	VBN	B-VP	B-NP
as	IN	B-PP	I-NP
defense	NN	B-NP	I-NP
secretary	NN	I-NP	I-NP
in	IN	B-PP	B-PP
the	DT	B-NP	B-NP
Reagan	NNP	I-NP	I-NP
administration	NN	I-NP	I-NP
.	.	O	O

In	IN	B-PP	B-NP
January	NNP	B-NP	I-NP
,	,	O	O
he	PRP	B-NP	B-NP
accepted	VBD	B-VP	B-VP
the	DT	B-NP	B-NP
position	NN	I-NP	I-NP
of	IN	B-PP	B-PP
vice	NN	B-NP	B-NP
chairman	NN	I-NP	I-NP
of	IN	B-PP	B-PP
Carlyle	NNP	B-NP	B-NP
Group	NNP	I-NP	I-NP
,	,	O	O
a	DT	B-NP	B-NP
merchant	NN	I-NP	I-NP
banking	NN	I-NP	I-NP
concern	NN	I-NP	I-NP
.	.	O	O

SHEARSON	NNP	B-NP	B-NP
LEHMAN	NNP	I-NP	I-NP
